sample_id,Cobertura,x,y,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,NDVI,MSAVI,NDWI,BSI,MBSI,NDSI,MSWI,NDBI,Codigo,geometry_wkt,latitude,longitude
training_000030,Bosque Natural,-74.928,7.95550366,0.03344999998807907,0.03920000046491623,0.06764999777078629,0.04190000146627426,0.09309999644756317,0.2560499906539917,0.3113499879837036,0.3402000069618225,0.34984999895095825,0.3575499951839447,0.17489999532699585,0.07575000077486038,0.7806856632232666,0.5095400214195251,-0.668260395526886,-0.27272728085517883,0.613468587398529,0.442176878452301,0.2877177894115448,-0.3209085762500763,2,POINT (4787521.477894 2437571.37169),2437571.371689865,4787521.47789376
training_000031,Vegetacion,-74.809,8.126094933,0.04645000025629997,0.05620000138878822,0.09350000321865082,0.07805000245571136,0.15459999442100525,0.28334999084472656,0.3130500018596649,0.31825000047683716,0.3468500077724457,0.32554998993873596,0.2724500000476837,0.1530500054359436,0.6061064600944519,0.38335567712783813,-0.5458409190177917,-0.03303676098585129,0.5546362400054932,0.48900121450424194,0.3245348334312439,-0.07753513008356094,4,POINT (4800745.552883 2456372.745257),2456372.7452572524,4800745.552882658
training_000032,Vegetacion,-74.937,8.12432629,0.04360000044107437,0.05130000039935112,0.08285000175237656,0.08810000121593475,0.14605000615119934,0.22470000386238098,0.2554500102996826,0.2637999951839447,0.2924000024795532,0.2962000072002411,0.3221000134944916,0.18690000474452972,0.4992895722389221,0.2821461260318756,-0.521996259689331,0.13111817836761475,0.5704534649848938,0.5908136963844299,0.35927271842956543,0.09950506687164307,4,POINT (4786709.392301 2456242.059426),2456242.0594261093,4786709.392300931
training_000033,Suelo Desnudo,-74.952,7.843433526,0.0544000007212162,0.07665000110864639,0.11779999732971191,0.17980000376701355,0.18174999952316284,0.21610000729560852,0.22280000150203705,0.2759000062942505,0.2442999929189682,0.2791999876499176,0.29420000314712524,0.180649995803833,0.21088434755802155,0.13572752475738525,-0.4015748202800751,0.1469360589981079,0.2413502037525177,0.4281553626060486,0.002358141355216503,0.03209962695837021,6,POINT (4785186.23631 2448177.008508),2448177.0085084373,4785186.236309744
training_000034,Mineria,-74.823,7.836161526,0.11180000007152557,0.15199999511241913,0.23080000281333923,0.319599986076355,0.3675999939441681,0.38040000200271606,0.39590001106262207,0.37040001153945923,0.390500009059906,0.3734000027179718,0.5073000192642212,0.41909998655319214,0.07362322509288788,0.06046413257718086,-0.23220227658748627,0.22567257285118103,0.2269924134016037,0.3746104836463928,0.1346960961818695,0.1559758484363556,9,POINT (4799075.831911 2424324.158333),2424324.158332954,4799075.831910978
training_000035,Nubes,-74.649,7.898455463,0.7190999984741211,0.6952000260353088,0.6880000233650208,0.7063999772071838,0.7976999878883362,0.8119999766349792,0.8309999704360962,0.769599974155426,0.8299000263214111,1.017799973487854,0.7997000217437744,0.6952000260353088,0.042818427085876465,0.050795599818229675,-0.055982403457164764,0.013901511207222939,0.061948105692863464,0.07508233934640884,-0.007990832440555096,0.019180556759238243,1,POINT (4818314.729577 2431131.430538),2431131.4305375256,4818314.72957692
training_000036,Vegetacion,-74.883,8.120380932,0.04594999924302101,0.053700000047683716,0.08824999630451202,0.08269999921321869,0.15485000610351562,0.265749990940094,0.3009999990463257,0.30649998784065247,0.34139999747276306,0.3467999994754791,0.3273000121116638,0.1826999932527542,0.5750256776809692,0.35611987113952637,-0.5528815984725952,0.06465855985879898,0.5965853929519653,0.5752617120742798,0.37678974866867065,0.032817963510751724,4,POINT (4792629.463882 2455777.933727),2455777.93372688,4792629.463882401
training_000037,Cuerpos de Agua,-74.948,8.036774476,0.07635000348091125,0.09560000151395798,0.1518000066280365,0.16820000112056732,0.16380000114440918,0.09305000305175781,0.096950002014637,0.0786999985575676,0.06340000033378601,0.03355000168085098,0.013749999925494194,0.010350000113248825,-0.36249494552612305,-0.13816379010677338,0.3171366751194,0.021473687142133713,-0.8488596081733704,-0.8338870406150818,-0.884066104888916,-0.7025418877601624,7,POINT (4785450.348056 2446567.310886),2446567.3108861684,4785450.348055886
training_000038,Vegetacion,-74.801,8.112048279,0.049300000071525574,0.05310000106692314,0.08534999936819077,0.07639999687671661,0.14720000326633453,0.2662999927997589,0.2980000078678131,0.2964499890804291,0.33340001106262207,0.3334999978542328,0.28665000200271606,0.16404999792575836,0.5901837348937988,0.355731725692749,-0.5529072880744934,0.018944721668958664,0.5791213512420654,0.5411290526390076,0.36452487111091614,-0.016806701198220253,4,POINT (4801688.101627 2454815.508399),2454815.508399056,4801688.101626537
training_000039,Vegetacion,-74.801,8.064704245,0.052400000393390656,0.05570000037550926,0.09525000303983688,0.06185000017285347,0.14305000007152557,0.31575000286102295,0.368149995803833,0.3519499897956848,0.39785000681877136,0.38815000653266907,0.23070000112056732,0.11680000275373459,0.701063334941864,0.47034966945648193,-0.5740160942077637,-0.16438159346580505,0.5771663188934326,0.4155545234680176,0.307584673166275,-0.20810090005397797,4,POINT (4801577.785327 2449581.509915),2449581.5099146366,4801577.7853269335
training_000040,Cuerpos de Agua,-74.904,8.036209136,0.07999999821186066,0.09780000150203705,0.1501999944448471,0.16539999842643738,0.16410000622272491,0.09529999643564224,0.09759999811649323,0.07850000262260437,0.06080000102519989,0.022099999710917473,0.011699999682605267,0.010700000450015068,-0.35629355907440186,-0.13456538319587708,0.31351110339164734,0.002263706875964999,-0.8678712844848633,-0.8554663062095642,-0.8784781098365784,-0.7405765056610107,7,POINT (4790240.61968 2446482.282898),2446482.282897604,4790240.619680049
training_000041,Vegetacion,-74.852,8.097992492,0.045499999076128006,0.04845000058412552,0.08410000056028366,0.06674999743700027,0.1432500034570694,0.28075000643730164,0.31485000252723694,0.2904999852180481,0.34299999475479126,0.34940001368522644,0.2581000030040741,0.1429000049829483,0.6263120770454407,0.3693227767944336,-0.550987720489502,-0.021241316571831703,0.5890411138534546,0.508474588394165,0.36322444677352905,-0.05905939266085625,4,POINT (4796051.083845 2453286.77674),2453286.776740063,4796051.083844993
training_000042,Mineria,-74.829,7.949132999,0.12370000034570694,0.16179999709129333,0.22259999811649323,0.2939999997615814,0.35019999742507935,0.3626999855041504,0.3752000033855438,0.3671000003814697,0.3910999894142151,0.39480000734329224,0.47839999198913574,0.4311999976634979,0.11057328432798386,0.08885684609413147,-0.24503985047340393,0.18712057173252106,0.23873639106750488,0.36490726470947266,0.18918918073177338,0.1316380798816681,9,POINT (4798459.815241 2436817.348305),2436817.348305252,4798459.815240938
training_000043,Cuerpos de Agua,-74.799,7.970189407,0.03629999980330467,0.033399999141693115,0.06480000168085098,0.03590000048279762,0.10779999941587448,0.314300000667572,0.382999986410141,0.397599995136261,0.41110000014305115,0.3813000023365021,0.19859999418258667,0.09130000323057175,0.8343713879585266,0.6107450723648071,-0.7197231650352478,-0.295266717672348,0.693816602230072,0.5079726576805115,0.43553459644317627,-0.3337806165218353,7,POINT (4801744.327562 2439130.998803),2439130.998802614,4801744.327561903
training_000044,Nubes,-74.642,7.976347965,0.3294999897480011,0.39879998564720154,0.39480000734329224,0.3675999939441681,0.396699994802475,0.49779999256134033,0.5224000215530396,0.5595999956130981,0.5303000211715698,0.5468000173568726,0.4634000062942505,0.3391000032424927,0.2070750743150711,0.200093075633049,-0.17267392575740814,-0.0711970403790474,0.11528280377388,0.0799347460269928,-0.04032827168703079,-0.09403713792562485,1,POINT (4819055.172964 2439739.732222),2439739.732222262,4819055.172964372
training_000045,Vegetacion,-74.731,7.939654801,0.04399999976158142,0.048500001430511475,0.0828000009059906,0.06939999759197235,0.14650000631809235,0.2987000048160553,0.3422999978065491,0.34880000352859497,0.3799999952316284,0.39559999108314514,0.2939000129699707,0.16089999675750732,0.6681013703346252,0.44672858715057373,-0.6163113713264465,-0.04470154270529747,0.6179466247558594,0.5603929162025452,0.3973078727722168,-0.08542086184024811,4,POINT (4809278.438883 2435722.963882),2435722.963881607,4809278.438882764
training_000046,Vegetacion,-74.92,8.086288798,0.05204999819397926,0.06055000051856041,0.09139999747276306,0.1103999987244606,0.1610500067472458,0.22100000083446503,0.24660000205039978,0.2614000141620636,0.28824999928474426,0.29120001196861267,0.39590001106262207,0.24709999561309814,0.40613237023353577,0.23439911007881165,-0.4818594455718994,0.22257770597934723,0.5638949275016785,0.6248717308044434,0.38237762451171875,0.2046249657869339,4,POINT (4788562.300234 2452027.426212),2452027.426212007,4788562.30023443
training_000047,Suelo Desnudo,-74.892,8.073333797,0.04820000007748604,0.05485000088810921,0.08560000360012054,0.09589999914169312,0.15045000612735748,0.23489999771118164,0.26100000739097595,0.2755500078201294,0.295199990272522,0.30674999952316284,0.31174999475479126,0.18389999866485596,0.4836452007293701,0.28343436121940613,-0.5259587168693542,0.10466768592596054,0.5294983386993408,0.5691455602645874,0.31451037526130676,0.06163798272609711,6,POINT (4792400.463378 2449885.855455),2449885.85545519,4792400.463377908
training_000048,Bosque Natural,-74.657,7.861420693,0.025699999183416367,0.024900000542402267,0.04309999942779541,0.025200000032782555,0.07400000095367432,0.2175000011920929,0.29249998927116394,0.3107999861240387,0.31290000677108765,0.2989000082015991,0.1420000046491623,0.05920000001788139,0.8499999642372131,0.5172073245048523,-0.7564283609390259,-0.3350566327571869,0.6985645890235901,0.5343058109283447,0.4028435945510864,-0.37279149889945984,2,POINT (4817362.297224 2427040.894631),2427040.894631311,4817362.297224447
training_000049,Mineria,-74.865,7.98317159,0.11879999935626984,0.11819999665021896,0.19599999487400055,0.3052000105381012,0.3614000082015991,0.375900000333786,0.3806000053882599,0.365200012922287,0.3677000105381012,0.40849998593330383,0.462799996137619,0.38339999318122864,0.08949881047010422,0.07237528264522552,-0.30149683356285095,0.22742527723312378,0.20520831644535065,0.40497875213623047,0.11356372386217117,0.117874376475811,9,POINT (4794544.744967 2440598.319382),2440598.319382271,4794544.7449673
training_000050,Vegetacion,-74.796,8.112480985,0.05705000087618828,0.06395000219345093,0.09915000200271606,0.08550000190734863,0.15369999408721924,0.28415000438690186,0.3219499886035919,0.31520000100135803,0.3407999873161316,0.34185001254081726,0.2804499864578247,0.1728000044822693,0.5732468366622925,0.3622639775276184,-0.521419107913971,-0.017715763300657272,0.5327230095863342,0.47760799527168274,0.33797910809516907,-0.05833965539932251,4,POINT (4802168.035703 2454861.223083),2454861.2230829494,4802168.035703148
training_000051,Mineria,-74.768,7.797880638,0.04349999874830246,0.03590000048279762,0.061900001019239426,0.04899999871850014,0.10050000250339508,0.23000000417232513,0.2578999996185303,0.2856000065803528,0.28029999136924744,0.30489999055862427,0.18610000610351562,0.10440000146627426,0.7071129679679871,0.40616971254348755,-0.6437410116195679,-0.1552281677722931,0.5831561088562012,0.500806450843811,0.36114734411239624,-0.21093915402889252,9,POINT (4805130.172106 2420065.972733),2420065.9727329053,4805130.172106398
